Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000087152	ATXN7L3	protein_coding	6.735896217574693e-4	0.9719948065562702	0.248	0.175	1	23	11	ENSG00000087152
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000186187	ZNRF1	protein_coding	6.739515643903643e-4	0.879073056	0.26	0.186	1	22	13	ENSG00000186187
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000179021	C3orf38	protein_coding	6.744544674007646e-4	-0.235786406	0.217	0.341	1	22	24	ENSG00000179021
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000140650	PMM2	protein_coding	6.748191351942707e-4	-0.491070982	0.31	0.431	1	36	46	ENSG00000140650
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000180423	HARBI1	protein_coding	6.773734570723241e-4	-1.66744637	0.016	0.07	1	1	4	ENSG00000180423
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000233901	LINC01503	lncRNA	6.805819941554882e-4	-2.223607007	0.004	0.051	1	0	3	ENSG00000233901
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000172348	RCAN2	protein_coding	6.855906975915345e-4	1.7327617421452346	0.078	0.036	1	6	2	ENSG00000172348
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000085871	MGST2	protein_coding	6.886014586261479e-4	0.709402257	0.384	0.314	1	45	30	ENSG00000085871
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000172262	ZNF131	protein_coding	6.887535713088785e-4	-0.267917204	0.395	0.538	1	47	52	ENSG00000172262
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000292343	AKAP17A	protein_coding	6.901508496386902e-4	0.7560957771545667	0.353	0.284	1	40	20	ENSG00000292343
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000197111	PCBP2	protein_coding	6.926117634907599e-4	-0.171855136	0.895	0.897	1	259	383	ENSG00000197111
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000114491	UMPS	protein_coding	6.979919695836439e-4	-0.202279859	0.271	0.412	1	29	34	ENSG00000114491
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000112335	SNX3	protein_coding	7.007934864778616e-4	-0.290346076	0.725	0.804	1	142	191	ENSG00000112335
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106723	SPIN1	protein_coding	7.014423308049038e-4	-0.433713124	0.264	0.385	1	24	29	ENSG00000106723
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000167011	NAT16	protein_coding	7.019460208493709e-4	-1.220808964	0.031	0.093	1	4	6	ENSG00000167011
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106049	HIBADH	protein_coding	7.027114398261811e-4	-0.199883458	0.422	0.559	1	46	69	ENSG00000106049
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000104915	STX10	protein_coding	7.032968892044338e-4	0.8445244203066128	0.469	0.427	1	52	34	ENSG00000104915
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000055211	GINM1	protein_coding	7.035102761292007e-4	-0.348759421	0.275	0.397	1	26	31	ENSG00000055211
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000100412	ACO2	protein_coding	7.047510200022154e-4	-0.242332173	0.465	0.625	1	70	72	ENSG00000100412
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000126561	STAT5A	protein_coding	7.084377967304565e-4	-0.045882341	0.174	0.282	1	16	21	ENSG00000126561
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000158555	GDPD5	protein_coding	7.089634385947004e-4	-0.592959986	0.062	0.141	1	5	9	ENSG00000158555
