Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000107560	RAB11FIP2	protein_coding	5.2510522855106484e-12	-0.854688243	0.245	0.325	1.1962422211621808e-7	16	30	ENSG00000107560
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000113845	TIMMDC1	protein_coding	5.2575952953117174e-12	0.15631400025007788	0.713	0.596	1.1977327842249625e-7	102	87	ENSG00000113845
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000115808	STRN	protein_coding	5.270491727656868e-12	-0.79281859	0.216	0.292	1.2006707204775112e-7	13	26	ENSG00000115808
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000166833	NAV2	protein_coding	5.282683879642366e-12	-0.821521314	0.405	0.465	1.2034482146213275e-7	43	84	ENSG00000166833
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000072422	RHOBTB1	protein_coding	5.301285110338589e-12	1.0730593536920634	0.164	0.102	1.207685760986234e-7	10	7	ENSG00000072422
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000065882	TBC1D1	protein_coding	5.36074564862306e-12	-0.915924333	0.163	0.237	1.2212314662128193e-7	11	23	ENSG00000065882
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000205611	LINC01597	lncRNA	5.3796929735971e-12	-1.949042706	0.039	0.088	1.2255478563151554e-7	2	9	ENSG00000205611
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000103160	HSDL1	protein_coding	5.397918372777849e-12	-1.031822066	0.199	0.274	1.2296997845025216e-7	13	23	ENSG00000103160
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000165644	COMTD1	protein_coding	5.440867138090136e-12	0.5403412990957945	0.284	0.203	1.239483942728314e-7	20	21	ENSG00000165644
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000218891	ZNF579	protein_coding	5.511794575416601e-12	-1.033357781	0.185	0.258	1.255641922225656e-7	12	25	ENSG00000218891
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000113384	GOLPH3	protein_coding	5.580989311376595e-12	0.20170724312524735	0.516	0.413	1.271405175024702e-7	49	39	ENSG00000113384
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000198231	DDX42	protein_coding	5.585893980501915e-12	-0.548550537	0.522	0.561	1.2725225076981413e-7	49	76	ENSG00000198231
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000122574	WIPF3	protein_coding	5.601939464837847e-12	0.5512864572274863	0.196	0.125	1.27617782948471e-7	14	12	ENSG00000122574
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000168994	PXDC1	protein_coding	5.622736156936388e-12	-1.004777268	0.181	0.255	1.2809155239116786e-7	12	25	ENSG00000168994
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000100344	PNPLA3	protein_coding	5.647299408609773e-12	-1.257540826	0.062	0.121	1.2865112782753924e-7	4	11	ENSG00000100344
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000105939	ZC3HAV1	protein_coding	5.664010517146873e-12	-0.879564128	0.427	0.487	1.290318235911229e-7	39	61	ENSG00000105939
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106511	MEOX2	protein_coding	5.667810047162397e-12	-3.407022185	0.009	0.043	1.2911838068440657e-7	1	5	ENSG00000106511
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000178105	DDX10	protein_coding	5.714840297453308e-12	-0.821878266	0.329	0.402	1.301897768162838e-7	24	41	ENSG00000178105
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000151876	FBXO4	protein_coding	5.74907565942397e-12	0.4670713948132672	0.203	0.132	1.3096969259733746e-7	13	9	ENSG00000151876
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000214756	CSKMT	protein_coding	5.752188851618549e-12	-0.767754379	0.202	0.286	1.3104061422872215e-7	14	23	ENSG00000214756
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000241295	ZBTB20-AS2	lncRNA	5.774742913697259e-12	-4.573679609	0.003	0.032	1.3155441831693725e-7	0	2	ENSG00000241295
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000116962	NID1	protein_coding	5.7779428892115574e-12	-0.971698323	0.252	0.328	1.316273169591285e-7	31	38	ENSG00000116962
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000182700	IGIP	protein_coding	5.8097041463766575e-12	-1.401849192	0.098	0.163	1.3235087015860662e-7	6	12	ENSG00000182700
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000111885	MAN1A1	protein_coding	5.821175499024313e-12	-2.822585275	0.004	0.035	1.3261219904327288e-7	0	3	ENSG00000111885
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000112041	TULP1	protein_coding	5.955176304131944e-12	3.9295142389473945	0.015	0	1.3566487138442982e-7	1	0	ENSG00000112041
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000141934	PLPP2	protein_coding	5.96039146398662e-12	-1.027350992	0.124	0.193	1.357836779410792e-7	9	24	ENSG00000141934
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000005156	LIG3	protein_coding	5.983234366567853e-12	-0.732614871	0.246	0.324	1.3630406210478225e-7	17	28	ENSG00000005156
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000141448	GATA6	protein_coding	5.997175709401728e-12	-2.401968487	0.01	0.046	1.3662165983588075e-7	1	3	ENSG00000141448
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000126261	UBA2	protein_coding	5.998622672318242e-12	0.13131658301343263	0.792	0.641	1.3665462309808187e-7	144	157	ENSG00000126261
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000120868	APAF1	protein_coding	6.011377810383996e-12	0.6130102475278196	0.195	0.126	1.369451978983578e-7	13	9	ENSG00000120868
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000244754	N4BP2L2	protein_coding	6.03629417274013e-12	-0.349482936	0.865	0.873	1.3751281754919292e-7	241	238	ENSG00000244754
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000171634	BPTF	protein_coding	6.066274026282278e-12	-0.324504694	0.808	0.796	1.3819578859273658e-7	189	210	ENSG00000171634
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000033122	LRRC7	protein_coding	6.089593115555469e-12	-3.871300341	0.002	0.029	1.3872702076546914e-7	0	2	ENSG00000033122
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000134222	PSRC1	protein_coding	6.1270765083029455e-12	0.49242064268452523	0.241	0.164	1.395809299356494e-7	23	14	ENSG00000134222
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000185340	GAS2L1	protein_coding	6.160113299803075e-12	-1.226302569	0.153	0.226	1.4033354108281385e-7	9	18	ENSG00000185340
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000187147	RNF220	protein_coding	6.31408754756694e-12	-0.777482356	0.328	0.403	1.4384122842112247e-7	24	38	ENSG00000187147
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000183963	SMTN	protein_coding	6.343412714924588e-12	-1.314655595	0.13	0.2	1.4450928505869704e-7	9	18	ENSG00000183963
